server_id,server_name,server_type,location,status
1,server_alpha,Production,Datacenter3,Active
2,server_beta,Test,Datacenter4,Inactive
3,server_gamma,Production,Datacenter2,Active
4,server_delta,Test,Datacenter3,Inactive
5,server_epsilon,Staging,Datacenter3,Active
6,server_zeta,Production,Datacenter1,Inactive
7,server_eta,Backup,Datacenter2,Active
8,server_theta,Staging,Datacenter2,Inactive
9,server_iota,Backup,Datacenter4,Active
10,server_kappa,Test,Datacenter1,Inactive
11,server_lambda,Development,Datacenter1,Active
12,server_mu,Development,Datacenter3,Active
13,server_nu,Staging,Datacenter1,Active
14,server_xi,Staging,Datacenter4,Active
15,server_omicron,Production,Datacenter2,Inactive
16,server_pi,Development,Datacenter1,Active
17,server_rho,Development,Datacenter3,Active
18,server_sigma,Staging,Datacenter2,Active
19,server_tau,Staging,Datacenter3,Active
20,server_upsilon,Development,Datacenter2,Active
21,server_phi,Development,Datacenter4,Active
22,server_chi,Staging,Datacenter2,Inactive
23,server_psi,Staging,Datacenter4,Inactive
24,server_omega,Backup,Datacenter4,Active
25,server_zenith,Development,Datacenter2,Active
26,server_vortex,Production,Datacenter4,Inactive
27,server_nexus,Test,Datacenter3,Inactive
28,server_horizon,Staging,Datacenter3,Active
29,server_pinnacle,Staging,Datacenter2,Inactive
30,server_stratus,Test,Datacenter3,Active
31,server_altitude,Backup,Datacenter2,Inactive
32,server_spectrum,Production,Datacenter2,Inactive
33,server_nightfall,Backup,Datacenter4,Inactive
34,server_blaze,Staging,Datacenter2,Active
35,server_nimbus,Production,Datacenter2,Active
36,server_celestia,Test,Datacenter1,Active
37,server_helios,Staging,Datacenter3,Active
38,server_solaris,Test,Datacenter4,Active
39,server_stellar,Backup,Datacenter2,Inactive
40,server_quasar,Backup,Datacenter4,Active
41,server_infinity,Development,Datacenter2,Inactive
42,server_aurora,Staging,Datacenter2,Active
43,server_vanguard,Test,Datacenter3,Active
44,server_legacy,Test,Datacenter2,Active
45,server_excalibur,Test,Datacenter2,Active
46,server_cyber,Development,Datacenter3,Active
47,server_reactor,Backup,Datacenter2,Active
48,server_zenon,Test,Datacenter1,Inactive
49,server_nova,Backup,Datacenter3,Active
50,server_epoch,Staging,Datacenter3,Inactive
51,server_vortex,Backup,Datacenter4,Active
52,server_echo,Backup,Datacenter3,Inactive
53,server_horizon,Development,Datacenter2,Active
54,server_pulse,Development,Datacenter4,Active
55,server_fusion,Backup,Datacenter3,Active
56,server_impact,Backup,Datacenter2,Inactive
57,server_aurora,Test,Datacenter2,Active
58,server_spectrum,Production,Datacenter4,Inactive
59,server_zenith,Development,Datacenter3,Active
60,server_catalyst,Backup,Datacenter3,Inactive
